medal_type,medal_code,athlete_short_name,athlete_name,athlete_sex,country_code,discipline_code,event,country,discipline
Gold Medal,1,KIM JD,KIM Je Deok,X,KOR,ARC,Mixed Team,Republic of Korea,Archery
Gold Medal,1,AN S,AN San,X,KOR,ARC,Mixed Team,Republic of Korea,Archery
Silver Medal,2,SCHLOESSER G,SCHLOESSER Gabriela,X,NED,ARC,Mixed Team,Netherlands,Archery
Silver Medal,2,WIJLER S,WIJLER Steve,X,NED,ARC,Mixed Team,Netherlands,Archery
Bronze Medal,3,ALVAREZ L,ALVAREZ Luis,X,MEX,ARC,Mixed Team,Mexico,Archery
Bronze Medal,3,VALENCIA A,VALENCIA Alejandra,X,MEX,ARC,Mixed Team,Mexico,Archery
Gold Medal,1,CARAPAZ R,CARAPAZ Richard,M,ECU,CRD,Men's Road Race,Ecuador,Cycling Road
Silver Medal,2,van AERT W,van AERT Wout,M,BEL,CRD,Men's Road Race,Belgium,Cycling Road
Bronze Medal,3,POGACAR T,POGACAR Tadej,M,SLO,CRD,Men's Road Race,Slovenia,Cycling Road
Gold Medal,1,SZILAGYI A,SZILAGYI Aron,M,HUN,FEN,Men's Sabre Individual,Hungary,Fencing
Silver Medal,2,SAMELE L,SAMELE Luigi,M,ITA,FEN,Men's Sabre Individual,Italy,Fencing
Bronze Medal,3,KIM J,KIM Junghwan,M,KOR,FEN,Men's Sabre Individual,Republic of Korea,Fencing
Gold Medal,1,SUN Y,SUN Yiwen,W,CHN,FEN,Women's &Eacute;p&eacute;e Individual,People's Republic of China,Fencing
Silver Medal,2,POPESCU AM,POPESCU Ana Maria,W,ROU,FEN,Women's &Eacute;p&eacute;e Individual,Romania,Fencing
Bronze Medal,3,LEHIS K,LEHIS Katrina,W,EST,FEN,Women's &Eacute;p&eacute;e Individual,Estonia,Fencing
Gold Medal,1,TAKATO N,TAKATO Naohisa,M,JPN,JUD,Men -60 kg,Japan,Judo
Silver Medal,2,YANG YW,YANG Yung Wei,M,TPE,JUD,Men -60 kg,Chinese Taipei,Judo
Bronze Medal,3,MKHEIDZE L,MKHEIDZE Luka,M,FRA,JUD,Men -60 kg,France,Judo
Bronze Medal,3,SMETOV Y,SMETOV Yeldos,M,KAZ,JUD,Men -60 kg,Kazakhstan,Judo
Gold Medal,1,KRASNIQI D,KRASNIQI Distria,W,KOS,JUD,Women -48 kg,Kosovo,Judo
Silver Medal,2,TONAKI F,TONAKI Funa,W,JPN,JUD,Women -48 kg,Japan,Judo
Bronze Medal,3,BILODID D,BILODID Daria,W,UKR,JUD,Women -48 kg,Ukraine,Judo
Bronze Medal,3,MUNKHBAT U,MUNKHBAT Urantsetseg,W,MGL,JUD,Women -48 kg,Mongolia,Judo
Gold Medal,1,FOROUGHI J,FOROUGHI Javad,M,IRI,SHO,10m Air Pistol Men,Islamic Republic of Iran,Shooting
Silver Medal,2,MIKEC D,MIKEC Damir,M,SRB,SHO,10m Air Pistol Men,Serbia,Shooting
Bronze Medal,3,PANG W,PANG Wei,M,CHN,SHO,10m Air Pistol Men,People's Republic of China,Shooting
Gold Medal,1,YANG Q,YANG Qian,W,CHN,SHO,10m Air Rifle Women,People's Republic of China,Shooting
Silver Medal,2,GALASHINA A,GALASHINA Anastasiia,W,ROC,SHO,10m Air Rifle Women,ROC,Shooting
Bronze Medal,3,CHRISTEN N,CHRISTEN Nina,W,SUI,SHO,10m Air Rifle Women,Switzerland,Shooting
Gold Medal,1,DELL'AQUILA V,DELL'AQUILA Vito,M,ITA,TKW,Men -58kg,Italy,Taekwondo
Silver Medal,2,JENDOUBI MK,JENDOUBI Mohamed Khalil,M,TUN,TKW,Men -58kg,Tunisia,Taekwondo
Bronze Medal,3,ARTAMONOV M,ARTAMONOV Mikhail,M,ROC,TKW,Men -58kg,ROC,Taekwondo
Bronze Medal,3,JANG J,JANG Jun,M,KOR,TKW,Men -58kg,Republic of Korea,Taekwondo
Gold Medal,1,WONGPATTANAKIT P,WONGPATTANAKIT Panipak,W,THA,TKW,Women -49kg,Thailand,Taekwondo
Silver Medal,2,CEREZO IGLESIAS A,CEREZO IGLESIAS Adriana,W,ESP,TKW,Women -49kg,Spain,Taekwondo
Bronze Medal,3,BOGDANOVIC T,BOGDANOVIC Tijana,W,SRB,TKW,Women -49kg,Serbia,Taekwondo
Bronze Medal,3,SEMBERG A,SEMBERG Abishag,W,ISR,TKW,Women -49kg,Israel,Taekwondo
Gold Medal,1,HOU Z,HOU Zhihui,W,CHN,WLF,Women's 49kg,People's Republic of China,Weightlifting
Silver Medal,2,MIRABAI CS,MIRABAI Chanu Saikhom,W,IND,WLF,Women's 49kg,India,Weightlifting
Bronze Medal,3,AISAH WC,AISAH Windy Cantika,W,INA,WLF,Women's 49kg,Indonesia,Weightlifting
Gold Medal,1,KANG C,KANG Chaeyoung,W,KOR,ARC,Women's Team,Republic of Korea,Archery
Gold Medal,1,AN S,AN San,W,KOR,ARC,Women's Team,Republic of Korea,Archery
Gold Medal,1,JANG M,JANG Minhee,W,KOR,ARC,Women's Team,Republic of Korea,Archery
Silver Medal,2,OSIPOVA E,OSIPOVA Elena,W,ROC,ARC,Women's Team,ROC,Archery
Silver Medal,2,PEROVA K,PEROVA Ksenia,W,ROC,ARC,Women's Team,ROC,Archery
Silver Medal,2,GOMBOEVA S,GOMBOEVA Svetlana,W,ROC,ARC,Women's Team,ROC,Archery
Bronze Medal,3,SCHWARZ C,SCHWARZ Charline,W,GER,ARC,Women's Team,Germany,Archery
Bronze Medal,3,UNRUH L,UNRUH Lisa,W,GER,ARC,Women's Team,Germany,Archery
Bronze Medal,3,KROPPEN M,KROPPEN Michelle,W,GER,ARC,Women's Team,Germany,Archery
Gold Medal,1,KIESENHOFER A,KIESENHOFER Anna,W,AUT,CRD,Women's Road Race,Austria,Cycling Road
Silver Medal,2,van VLEUTEN A,van VLEUTEN Annemiek,W,NED,CRD,Women's Road Race,Netherlands,Cycling Road
Bronze Medal,3,LONGO BORGHINI E,LONGO BORGHINI Elisa,W,ITA,CRD,Women's Road Race,Italy,Cycling Road
Gold Medal,1,WANG H,WANG Han,W,CHN,DIV,Women's Synchronised 3m Springboard,People's Republic of China,Diving
Gold Medal,1,SHI T,SHI Tingmao,W,CHN,DIV,Women's Synchronised 3m Springboard,People's Republic of China,Diving
Silver Medal,2,ABEL J,ABEL Jennifer,W,CAN,DIV,Women's Synchronised 3m Springboard,Canada,Diving
Silver Medal,2,CITRINI BEAULIEU M,CITRINI BEAULIEU Melissa,W,CAN,DIV,Women's Synchronised 3m Springboard,Canada,Diving
Bronze Medal,3,HENTSCHEL L,HENTSCHEL Lena,W,GER,DIV,Women's Synchronised 3m Springboard,Germany,Diving
Bronze Medal,3,PUNZEL T,PUNZEL Tina,W,GER,DIV,Women's Synchronised 3m Springboard,Germany,Diving
Gold Medal,1,CANNONE R,CANNONE Romain,M,FRA,FEN,Men's &Eacute;p&eacute;e Individual,France,Fencing
Silver Medal,2,SIKLOSI G,SIKLOSI Gergely,M,HUN,FEN,Men's &Eacute;p&eacute;e Individual,Hungary,Fencing
Bronze Medal,3,REIZLIN I,REIZLIN Igor,M,UKR,FEN,Men's &Eacute;p&eacute;e Individual,Ukraine,Fencing
Gold Medal,1,KIEFER L,KIEFER Lee,W,USA,FEN,Women's Foil Individual,United States of America,Fencing
Silver Medal,2,DERIGLAZOVA I,DERIGLAZOVA Inna,W,ROC,FEN,Women's Foil Individual,ROC,Fencing
Bronze Medal,3,KOROBEYNIKOVA L,KOROBEYNIKOVA Larisa,W,ROC,FEN,Women's Foil Individual,ROC,Fencing
Gold Medal,1,ABE H,ABE Hifumi,M,JPN,JUD,Men -66 kg,Japan,Judo
Silver Medal,2,MARGVELASHVILI V,MARGVELASHVILI Vazha,M,GEO,JUD,Men -66 kg,Georgia,Judo
Bronze Medal,3,AN B,AN Baul,M,KOR,JUD,Men -66 kg,Republic of Korea,Judo
Bronze Medal,3,CARGNIN D,CARGNIN Daniel,M,BRA,JUD,Men -66 kg,Brazil,Judo
Gold Medal,1,ABE U,ABE Uta,W,JPN,JUD,Women -52 kg,Japan,Judo
Silver Medal,2,BUCHARD A,BUCHARD Amandine,W,FRA,JUD,Women -52 kg,France,Judo
Bronze Medal,3,GILES C,GILES Chelsie,W,GBR,JUD,Women -52 kg,Great Britain,Judo
Bronze Medal,3,GIUFFRIDA O,GIUFFRIDA Odette,W,ITA,JUD,Women -52 kg,Italy,Judo
Gold Medal,1,BATSARASHKINA V,BATSARASHKINA Vitalina,W,ROC,SHO,10m Air Pistol Women,ROC,Shooting
Silver Medal,2,KOSTADINOVA A,KOSTADINOVA Antoaneta,W,BUL,SHO,10m Air Pistol Women,Bulgaria,Shooting
Bronze Medal,3,JIANG R,JIANG Ranxin,W,CHN,SHO,10m Air Pistol Women,People's Republic of China,Shooting
Gold Medal,1,SHANER W,SHANER William,M,USA,SHO,10m Air Rifle Men,United States of America,Shooting
Silver Medal,2,SHENG L,SHENG Lihao,M,CHN,SHO,10m Air Rifle Men,People's Republic of China,Shooting
Bronze Medal,3,YANG H,YANG Haoran,M,CHN,SHO,10m Air Rifle Men,People's Republic of China,Shooting
Gold Medal,1,HORIGOME Y,HORIGOME Yuto,M,JPN,SKB,Men's Street,Japan,Skateboarding
Silver Medal,2,HOEFLER K,HOEFLER Kelvin,M,BRA,SKB,Men's Street,Brazil,Skateboarding
Bronze Medal,3,EATON J,EATON Jagger,M,USA,SKB,Men's Street,United States of America,Skateboarding
Gold Medal,1,HAFNAOUI A,HAFNAOUI Ahmed,M,TUN,SWM,Men's 400m Freestyle,Tunisia,Swimming
Silver Medal,2,McLOUGHLIN J.,McLOUGHLIN Jack,M,AUS,SWM,Men's 400m Freestyle,Australia,Swimming
Bronze Medal,3,SMITH K,SMITH Kieran,M,USA,SWM,Men's 400m Freestyle,United States of America,Swimming
Gold Medal,1,KALISZ C,KALISZ Chase,M,USA,SWM,Men's 400m Individual Medley,United States of America,Swimming
Silver Medal,2,LITHERLAND J,LITHERLAND Jay,M,USA,SWM,Men's 400m Individual Medley,United States of America,Swimming
Bronze Medal,3,SMITH B,SMITH Brendon,M,AUS,SWM,Men's 400m Individual Medley,Australia,Swimming
Gold Medal,1,CAMPBELL C,CAMPBELL Cate,W,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
Gold Medal,1,CAMPBELL B,CAMPBELL Bronte,W,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
Gold Medal,1,McKEON E,McKEON Emma,W,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
Gold Medal,1,WILSON M,WILSON Madison,W,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
Gold Medal,1,O'CALLAGHAN M,O'CALLAGHAN Mollie,W,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
Gold Medal,1,HARRIS M,HARRIS Meg,W,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
Silver Medal,2,OLEKSIAK P,OLEKSIAK Penny,W,CAN,SWM,Women's 4 x 100m Freestyle Relay,Canada,Swimming
Silver Medal,2,SMITH R,SMITH Rebecca,W,CAN,SWM,Women's 4 x 100m Freestyle Relay,Canada,Swimming
Silver Medal,2,SANCHEZ K,SANCHEZ Kayla,W,CAN,SWM,Women's 4 x 100m Freestyle Relay,Canada,Swimming
Silver Medal,2,MACNEIL M,MACNEIL Margaret,W,CAN,SWM,Women's 4 x 100m Freestyle Relay,Canada,Swimming
Silver Medal,2,RUCK T,RUCK Taylor,W,CAN,SWM,Women's 4 x 100m Freestyle Relay,Canada,Swimming
Bronze Medal,3,BROWN E,BROWN Erika,W,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze Medal,3,WEITZEIL A,WEITZEIL Abbey,W,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze Medal,3,de LOOF C,de LOOF Catie,W,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze Medal,3,SCHMITT A,SCHMITT Allison,W,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze Medal,3,HINDS N,HINDS Natalie,W,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze Medal,3,SMOLIGA O,SMOLIGA Olivia,W,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze Medal,3,MANUEL S,MANUEL Simone,W,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Gold Medal,1,OHASHI Y,OHASHI Yui,W,JPN,SWM,Women's 400m Individual Medley,Japan,Swimming
Silver Medal,2,WEYANT E,WEYANT Emma,W,USA,SWM,Women's 400m Individual Medley,United States of America,Swimming
Bronze Medal,3,FLICKINGER H,FLICKINGER Hali,W,USA,SWM,Women's 400m Individual Medley,United States of America,Swimming
Gold Medal,1,RASHITOV U,RASHITOV Ulugbek,M,UZB,TKW,Men -68kg,Uzbekistan,Taekwondo
Silver Medal,2,SINDEN B,SINDEN Bradly,M,GBR,TKW,Men -68kg,Great Britain,Taekwondo
Bronze Medal,3,RECBER H,RECBER Hakan,M,TUR,TKW,Men -68kg,Turkey,Taekwondo
Bronze Medal,3,ZHAO S,ZHAO Shuai,M,CHN,TKW,Men -68kg,People's Republic of China,Taekwondo
Gold Medal,1,ZOLOTIC A,ZOLOTIC Anastasija,W,USA,TKW,Women -57kg,United States of America,Taekwondo
Silver Medal,2,MININA T,MININA Tatiana,W,ROC,TKW,Women -57kg,ROC,Taekwondo
Bronze Medal,3,LO CL,LO Chia-Ling,W,TPE,TKW,Women -57kg,Chinese Taipei,Taekwondo
Bronze Medal,3,ILGUN HK,ILGUN Hatice Kubra,W,TUR,TKW,Women -57kg,Turkey,Taekwondo
Gold Medal,1,LI F,LI Fabin,M,CHN,WLF,Men's 61kg,People's Republic of China,Weightlifting
Silver Medal,2,IRAWAN EY,IRAWAN Eko Yuli,M,INA,WLF,Men's 61kg,Indonesia,Weightlifting
Bronze Medal,3,SON I,SON Igor,M,KAZ,WLF,Men's 61kg,Kazakhstan,Weightlifting
Gold Medal,1,CHEN L,CHEN Lijun,M,CHN,WLF,Men's 67kg,People's Republic of China,Weightlifting
Silver Medal,2,MOSQUERA LOZANO LJ,MOSQUERA LOZANO Luis Javier,M,COL,WLF,Men's 67kg,Colombia,Weightlifting
Bronze Medal,3,ZANNI M,ZANNI Mirko,M,ITA,WLF,Men's 67kg,Italy,Weightlifting
Gold Medal,1,KIM JD,KIM Je Deok,M,KOR,ARC,Men's Team,Republic of Korea,Archery
Gold Medal,1,OH J,OH Jinhyek,M,KOR,ARC,Men's Team,Republic of Korea,Archery
Gold Medal,1,KIM W,KIM Woojin,M,KOR,ARC,Men's Team,Republic of Korea,Archery
Silver Medal,2,TANG CC,TANG Chih-Chun,M,TPE,ARC,Men's Team,Chinese Taipei,Archery
Silver Medal,2,WEI CH,WEI Chun-Heng,M,TPE,ARC,Men's Team,Chinese Taipei,Archery
Silver Medal,2,DENG YC,DENG Yu-Cheng,M,TPE,ARC,Men's Team,Chinese Taipei,Archery
Bronze Medal,3,FURUKAWA T,FURUKAWA Takaharu,M,JPN,ARC,Men's Team,Japan,Archery
Bronze Medal,3,KAWATA Y,KAWATA Yuki,M,JPN,ARC,Men's Team,Japan,Archery
Bronze Medal,3,MUTO H,MUTO Hiroki,M,JPN,ARC,Men's Team,Japan,Archery
Gold Medal,1,ABLIAZIN D,ABLIAZIN Denis,M,ROC,GAR,Men's Team,ROC,Artistic Gymnastics
Gold Medal,1,BELYAVSKIY D,BELYAVSKIY David,M,ROC,GAR,Men's Team,ROC,Artistic Gymnastics
Gold Medal,1,DALALOYAN A,DALALOYAN Artur,M,ROC,GAR,Men's Team,ROC,Artistic Gymnastics
Gold Medal,1,NAGORNYY N,NAGORNYY Nikita,M,ROC,GAR,Men's Team,ROC,Artistic Gymnastics
Silver Medal,2,KAYA K,KAYA Kazuma,M,JPN,GAR,Men's Team,Japan,Artistic Gymnastics
Silver Medal,2,TANIGAWA W,TANIGAWA Wataru,M,JPN,GAR,Men's Team,Japan,Artistic Gymnastics
Silver Medal,2,KITAZONO T,KITAZONO Takeru,M,JPN,GAR,Men's Team,Japan,Artistic Gymnastics
Silver Medal,2,HASHIMOTO D,HASHIMOTO Daiki,M,JPN,GAR,Men's Team,Japan,Artistic Gymnastics
Bronze Medal,3,LIN C,LIN Chaopan,M,CHN,GAR,Men's Team,People's Republic of China,Artistic Gymnastics
Bronze Medal,3,SUN W,SUN Wei,M,CHN,GAR,Men's Team,People's Republic of China,Artistic Gymnastics
Bronze Medal,3,XIAO R,XIAO Ruoteng,M,CHN,GAR,Men's Team,People's Republic of China,Artistic Gymnastics
Bronze Medal,3,ZOU J,ZOU Jingyuan,M,CHN,GAR,Men's Team,People's Republic of China,Artistic Gymnastics
Gold Medal,1,SAVSEK B,SAVSEK Benjamin,M,SLO,CSL,Men's Canoe,Slovenia,Canoe Slalom
Silver Medal,2,ROHAN L,ROHAN Lukas,M,CZE,CSL,Men's Canoe,Czech Republic,Canoe Slalom
Bronze Medal,3,TASIADIS S,TASIADIS Sideris,M,GER,CSL,Men's Canoe,Germany,Canoe Slalom
Gold Medal,1,PIDCOCK T,PIDCOCK Thomas,M,GBR,MTB,Men's Cross-country,Great Britain,Cycling Mountain Bike
Silver Medal,2,FLUECKIGER M,FLUECKIGER Mathias,M,SUI,MTB,Men's Cross-country,Switzerland,Cycling Mountain Bike
Bronze Medal,3,VALERO SERRANO D,VALERO SERRANO David,M,ESP,MTB,Men's Cross-country,Spain,Cycling Mountain Bike
Gold Medal,1,DALEY T,DALEY Thomas,M,GBR,DIV,Men's Synchronised 10m Platform,Great Britain,Diving
Gold Medal,1,LEE M,LEE Matty,M,GBR,DIV,Men's Synchronised 10m Platform,Great Britain,Diving
Silver Medal,2,CAO Y,CAO Yuan,M,CHN,DIV,Men's Synchronised 10m Platform,People's Republic of China,Diving
Silver Medal,2,CHEN A,CHEN Aisen,M,CHN,DIV,Men's Synchronised 10m Platform,People's Republic of China,Diving
Bronze Medal,3,BONDAR A,BONDAR Aleksandr,M,ROC,DIV,Men's Synchronised 10m Platform,ROC,Diving
Bronze Medal,3,MINIBAEV V,MINIBAEV Viktor,M,ROC,DIV,Men's Synchronised 10m Platform,ROC,Diving
Gold Medal,1,CHEUNG KL,CHEUNG Ka Long,M,HKG,FEN,Men's Foil Individual,"Hong Kong, China",Fencing
Silver Medal,2,GAROZZO D,GAROZZO Daniele,M,ITA,FEN,Men's Foil Individual,Italy,Fencing
Bronze Medal,3,CHOUPENITCH A,CHOUPENITCH Alexander,M,CZE,FEN,Men's Foil Individual,Czech Republic,Fencing
Gold Medal,1,POZDNIAKOVA S,POZDNIAKOVA Sofia,W,ROC,FEN,Women's Sabre Individual,ROC,Fencing
Silver Medal,2,VELIKAYA S,VELIKAYA Sofya,W,ROC,FEN,Women's Sabre Individual,ROC,Fencing
Bronze Medal,3,BRUNET M,BRUNET Manon,W,FRA,FEN,Women's Sabre Individual,France,Fencing
Gold Medal,1,ONO S,ONO Shohei,M,JPN,JUD,Men -73 kg,Japan,Judo
Silver Medal,2,SHAVDATUASHVILI L,SHAVDATUASHVILI Lasha,M,GEO,JUD,Men -73 kg,Georgia,Judo
Bronze Medal,3,AN C,AN Changrim,M,KOR,JUD,Men -73 kg,Republic of Korea,Judo
Bronze Medal,3,TSEND-OCHIR T,TSEND-OCHIR Tsogtbaatar,M,MGL,JUD,Men -73 kg,Mongolia,Judo
Gold Medal,1,GJAKOVA N,GJAKOVA Nora,W,KOS,JUD,Women -57 kg,Kosovo,Judo
Silver Medal,2,CYSIQUE SL,CYSIQUE Sarah Leonie,W,FRA,JUD,Women -57 kg,France,Judo
Bronze Medal,3,KLIMKAIT J,KLIMKAIT Jessica,W,CAN,JUD,Women -57 kg,Canada,Judo
Bronze Medal,3,YOSHIDA T,YOSHIDA Tsukasa,W,JPN,JUD,Women -57 kg,Japan,Judo
Gold Medal,1,HANCOCK V,HANCOCK Vincent,M,USA,SHO,Skeet Men,United States of America,Shooting
Silver Medal,2,HANSEN J,HANSEN Jesper,M,DEN,SHO,Skeet Men,Denmark,Shooting
Bronze Medal,3,ALRASHIDI A,ALRASHIDI Abdullah,M,KUW,SHO,Skeet Men,Kuwait,Shooting
Gold Medal,1,ENGLISH A,ENGLISH Amber,W,USA,SHO,Skeet Women,United States of America,Shooting
Silver Medal,2,BACOSI D,BACOSI Diana,W,ITA,SHO,Skeet Women,Italy,Shooting
Bronze Medal,3,WEI M,WEI Meng,W,CHN,SHO,Skeet Women,People's Republic of China,Shooting
Gold Medal,1,NISHIYA M,NISHIYA Momiji,W,JPN,SKB,Women's Street,Japan,Skateboarding
Silver Medal,2,LEAL R,LEAL Rayssa,W,BRA,SKB,Women's Street,Brazil,Skateboarding
Bronze Medal,3,NAKAYAMA F,NAKAYAMA Funa,W,JPN,SKB,Women's Street,Japan,Skateboarding
Gold Medal,1,PEATY A,PEATY Adam,M,GBR,SWM,Men's 100m Breaststroke,Great Britain,Swimming
Silver Medal,2,KAMMINGA A,KAMMINGA Arno,M,NED,SWM,Men's 100m Breaststroke,Netherlands,Swimming
Bronze Medal,3,MARTINENGHI N,MARTINENGHI Nicolo,M,ITA,SWM,Men's 100m Breaststroke,Italy,Swimming
Gold Medal,1,CURRY B,CURRY Brooks,M,USA,SWM,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
Gold Medal,1,DRESSEL C,DRESSEL Caeleb,M,USA,SWM,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
Gold Medal,1,BECKER B,BECKER Bowen,M,USA,SWM,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
Gold Medal,1,PIERONI B,PIERONI Blake,M,USA,SWM,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
Gold Medal,1,APPLE Z,APPLE Zach,M,USA,SWM,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
Silver Medal,2,CECCON T,CECCON Thomas,M,ITA,SWM,Men's 4 x 100m Freestyle Relay,Italy,Swimming
Silver Medal,2,FRIGO M,FRIGO Manuel,M,ITA,SWM,Men's 4 x 100m Freestyle Relay,Italy,Swimming
Silver Medal,2,ZAZZERI L,ZAZZERI Lorenzo,M,ITA,SWM,Men's 4 x 100m Freestyle Relay,Italy,Swimming
Silver Medal,2,CONDORELLI S,CONDORELLI Santo,M,ITA,SWM,Men's 4 x 100m Freestyle Relay,Italy,Swimming
Silver Medal,2,MIRESSI A,MIRESSI Alessandro,M,ITA,SWM,Men's 4 x 100m Freestyle Relay,Italy,Swimming
Bronze Medal,3,CHALMERS K,CHALMERS Kyle,M,AUS,SWM,Men's 4 x 100m Freestyle Relay,Australia,Swimming
Bronze Medal,3,GRAHAM A,GRAHAM Alexander,M,AUS,SWM,Men's 4 x 100m Freestyle Relay,Australia,Swimming
Bronze Medal,3,INCERTI Z,INCERTI Zac,M,AUS,SWM,Men's 4 x 100m Freestyle Relay,Australia,Swimming
Bronze Medal,3,McEVOY C,McEVOY Cameron,M,AUS,SWM,Men's 4 x 100m Freestyle Relay,Australia,Swimming
Bronze Medal,3,TEMPLE M,TEMPLE Matthew,M,AUS,SWM,Men's 4 x 100m Freestyle Relay,Australia,Swimming
Gold Medal,1,MACNEIL M,MACNEIL Margaret,W,CAN,SWM,Women's 100m Butterfly,Canada,Swimming
Silver Medal,2,ZHANG Y,ZHANG Yufei,W,CHN,SWM,Women's 100m Butterfly,People's Republic of China,Swimming
Bronze Medal,3,McKEON E,McKEON Emma,W,AUS,SWM,Women's 100m Butterfly,Australia,Swimming
Gold Medal,1,TITMUS A,TITMUS Ariarne,W,AUS,SWM,Women's 400m Freestyle,Australia,Swimming
Silver Medal,2,LEDECKY K,LEDECKY Kathleen,W,USA,SWM,Women's 400m Freestyle,United States of America,Swimming
Bronze Medal,3,LI B,LI Bingjie,W,CHN,SWM,Women's 400m Freestyle,People's Republic of China,Swimming
Gold Medal,1,MIZUTANI J,MIZUTANI Jun,X,JPN,TTE,Mixed Doubles,Japan,Table Tennis
Gold Medal,1,ITO M,ITO Mima,X,JPN,TTE,Mixed Doubles,Japan,Table Tennis
Silver Medal,2,XU X,XU Xin,X,CHN,TTE,Mixed Doubles,People's Republic of China,Table Tennis
Silver Medal,2,LIU S,LIU Shiwen,X,CHN,TTE,Mixed Doubles,People's Republic of China,Table Tennis
Bronze Medal,3,LIN YJ,LIN Yun Ju,X,TPE,TTE,Mixed Doubles,Chinese Taipei,Table Tennis
Bronze Medal,3,CHENG IC,CHENG I Ching,X,TPE,TTE,Mixed Doubles,Chinese Taipei,Table Tennis
Gold Medal,1,KHRAMTCOV M,KHRAMTCOV Maksim,M,ROC,TKW,Men -80kg,ROC,Taekwondo
Silver Medal,2,ELSHARABATY S,ELSHARABATY Saleh,M,JOR,TKW,Men -80kg,Jordan,Taekwondo
Bronze Medal,3,KANAET T,KANAET Toni,M,CRO,TKW,Men -80kg,Croatia,Taekwondo
Bronze Medal,3,EISSA S,EISSA Seif,M,EGY,TKW,Men -80kg,Egypt,Taekwondo
Gold Medal,1,JELIC M,JELIC Matea,W,CRO,TKW,Women -67kg,Croatia,Taekwondo
Silver Medal,2,WILLIAMS L,WILLIAMS Lauren,W,GBR,TKW,Women -67kg,Great Britain,Taekwondo
Bronze Medal,3,GBAGBI R,GBAGBI Ruth,W,CIV,TKW,Women -67kg,Côte d'Ivoire,Taekwondo
Bronze Medal,3,MALAK H,MALAK Hedaya,W,EGY,TKW,Women -67kg,Egypt,Taekwondo
Gold Medal,1,BLUMMENFELT K,BLUMMENFELT Kristian,M,NOR,TRI,Men's Individual,Norway,Triathlon
Silver Medal,2,YEE A,YEE Alex,M,GBR,TRI,Men's Individual,Great Britain,Triathlon
Bronze Medal,3,WILDE H,WILDE Hayden,M,NZL,TRI,Men's Individual,New Zealand,Triathlon
Gold Medal,1,DIAZ H,DIAZ Hidilyn,W,PHI,WLF,Women's 55kg,Philippines,Weightlifting
Silver Medal,2,LIAO Q,LIAO Qiuyun,W,CHN,WLF,Women's 55kg,People's Republic of China,Weightlifting
Bronze Medal,3,CHINSHANLO Z,CHINSHANLO Zulfiya,W,KAZ,WLF,Women's 55kg,Kazakhstan,Weightlifting
Gold Medal,1,AKHAIMOVA L,AKHAIMOVA Liliia,W,ROC,GAR,Women's Team,ROC,Artistic Gymnastics
Gold Medal,1,MELNIKOVA A,MELNIKOVA Angelina,W,ROC,GAR,Women's Team,ROC,Artistic Gymnastics
Gold Medal,1,URAZOVA V,URAZOVA Vladislava,W,ROC,GAR,Women's Team,ROC,Artistic Gymnastics
Gold Medal,1,LISTUNOVA V,LISTUNOVA Viktoriia,W,ROC,GAR,Women's Team,ROC,Artistic Gymnastics
Silver Medal,2,Mc CALLUM G,Mc CALLUM Grace,W,USA,GAR,Women's Team,United States of America,Artistic Gymnastics
Silver Medal,2,LEE S,LEE Sunisa,W,USA,GAR,Women's Team,United States of America,Artistic Gymnastics
Silver Medal,2,CHILES J,CHILES Jordan,W,USA,GAR,Women's Team,United States of America,Artistic Gymnastics
Silver Medal,2,BILES S,BILES Simone,W,USA,GAR,Women's Team,United States of America,Artistic Gymnastics
Bronze Medal,3,GADIROVA J,GADIROVA Jennifer,W,GBR,GAR,Women's Team,Great Britain,Artistic Gymnastics
Bronze Medal,3,GADIROVA J,GADIROVA Jessica,W,GBR,GAR,Women's Team,Great Britain,Artistic Gymnastics
Bronze Medal,3,KINSELLA A,KINSELLA Alice,W,GBR,GAR,Women's Team,Great Britain,Artistic Gymnastics
Bronze Medal,3,MORGAN A,MORGAN Amelie,W,GBR,GAR,Women's Team,Great Britain,Artistic Gymnastics
